namespace,query,MAPE,R2,MAE
panda-nifi,NAMESPACE_MEMORY_USAGE,0.27760673,0.7006677,0.026395839
panda-nifi,NAMESPACE_DISK_PERCENT,1.5242227,0.9757666,0.0122289555
panda-nifi,NAMESPACE_CPU_USAGE,11.771751,0.3222569,0.27749416
telefonica-cem-mbb-prod,NAMESPACE_MEMORY_USAGE,7.8300724,0.8183422,0.12262239
telefonica-cem-mbb-prod,NAMESPACE_DISK_PERCENT,2.7903383,0.98751384,0.037604533
telefonica-cem-mbb-prod,NAMESPACE_CPU_USAGE,26.239922,0.5014749,0.52210295
telefonica-twamp-accedian,NAMESPACE_MEMORY_USAGE,2.8154237,0.7998434,0.21043375
telefonica-twamp-accedian,NAMESPACE_DISK_PERCENT,0.5225993,0.8888235,0.059984863
telefonica-twamp-accedian,NAMESPACE_CPU_USAGE,30.383322,0.80317754,0.36092684
telefonica-baroneza,NAMESPACE_MEMORY_USAGE,1.4679953,0.1254404,0.15288424
telefonica-baroneza,NAMESPACE_DISK_PERCENT,0.553679,0.94534206,0.0066492455
telefonica-baroneza,NAMESPACE_CPU_USAGE,33.505627,-0.12080085,0.4047167
telefonica-netcompass-dev,NAMESPACE_MEMORY_USAGE,55.81532,0.5550048,1.1122711
telefonica-netcompass-dev,NAMESPACE_DISK_PERCENT,95.91636,0.2520276,2.5300267
telefonica-netcompass-dev,NAMESPACE_CPU_USAGE,331.34116,0.49527463,0.6200723
telco-dataprocessing-prod,NAMESPACE_MEMORY_USAGE,21.837433,0.78600115,0.26663005
telco-dataprocessing-prod,NAMESPACE_DISK_PERCENT,0.2551368,0.3262241,0.021077909
telco-dataprocessing-prod,NAMESPACE_CPU_USAGE,13.8718405,0.28455007,0.48347473
telefonica-baroneza-dev,NAMESPACE_MEMORY_USAGE,15.055474,-19.287363,0.08073624
telefonica-baroneza-dev,NAMESPACE_DISK_PERCENT,2.2334294,-681.01764,0.009451086
telefonica-baroneza-dev,NAMESPACE_CPU_USAGE,50.514656,-0.32465118,0.033142142
panda-druid,NAMESPACE_MEMORY_USAGE,7.026097,0.18310182,0.11391594
panda-druid,NAMESPACE_DISK_PERCENT,2.5841303,0.7783351,0.20320113
panda-druid,NAMESPACE_CPU_USAGE,19.52806,0.13328193,0.44023585
telco-datastorage-prod,NAMESPACE_MEMORY_USAGE,1.8424652,0.5107443,0.06904327
telco-datastorage-prod,NAMESPACE_DISK_PERCENT,0.20358546,0.8105006,0.0041758968
telco-datastorage-prod,NAMESPACE_CPU_USAGE,32.301388,0.6895105,0.23817143
smartoss-application-prod,NAMESPACE_MEMORY_USAGE,173642.67,0.5820472,0.3640474
smartoss-application-prod,NAMESPACE_DISK_PERCENT,0.27570033,0.94308954,0.013706337
smartoss-application-prod,NAMESPACE_CPU_USAGE,90241170.0,0.36956894,0.44576618
panda-amq-streams,NAMESPACE_MEMORY_USAGE,0.348213,0.92395306,0.02036206
panda-amq-streams,NAMESPACE_DISK_PERCENT,2.0601823,0.76084757,0.02430936
panda-amq-streams,NAMESPACE_CPU_USAGE,32.914703,0.35193542,0.3413225
telefonica-netcompass,NAMESPACE_MEMORY_USAGE,31.588312,-0.32109347,0.91726243
telefonica-netcompass,NAMESPACE_DISK_PERCENT,29.774603,0.35646677,0.9288723
telefonica-netcompass,NAMESPACE_CPU_USAGE,295.95023,0.19467317,1.0591322
telefonica-arise-dev,NAMESPACE_MEMORY_USAGE,0.16213544,0.47359312,0.009428593
telefonica-arise-dev,NAMESPACE_DISK_PERCENT,0.5475983,0.94697285,0.016668336
telefonica-arise-dev,NAMESPACE_CPU_USAGE,12.821464,0.62000114,0.0394601
openshift-storage,NAMESPACE_MEMORY_USAGE,23.682192,0.40645722,0.35595748
openshift-storage,NAMESPACE_DISK_PERCENT,10113.206,0.30376574,0.27198803
openshift-storage,NAMESPACE_CPU_USAGE,77.78916,0.2245404,0.29419467
telefonica-netcompass-icaro-dev,NAMESPACE_MEMORY_USAGE,0.07697626,0.7925208,0.0017029231
telefonica-netcompass-icaro-dev,NAMESPACE_DISK_PERCENT,0.11894902,0.8551485,0.0006035911
telefonica-netcompass-icaro-dev,NAMESPACE_CPU_USAGE,5.6797395,-0.059543967,0.13075407
panda-monitoring-tools,NAMESPACE_MEMORY_USAGE,4.1834755,0.91800326,0.045369454
panda-monitoring-tools,NAMESPACE_DISK_PERCENT,0.9039543,0.9837129,0.02326748
panda-monitoring-tools,NAMESPACE_CPU_USAGE,95.658554,0.6016505,0.7759566
panda-druid-dev,NAMESPACE_MEMORY_USAGE,2.4831223,0.9284566,0.06555588
panda-druid-dev,NAMESPACE_DISK_PERCENT,4.189158,0.93701833,0.012319384
panda-druid-dev,NAMESPACE_CPU_USAGE,118.39884,0.37770924,0.32746792
panda-amq-streams-dev,NAMESPACE_MEMORY_USAGE,0.47634354,-0.34156355,0.019560257
panda-amq-streams-dev,NAMESPACE_DISK_PERCENT,6.6976905,0.8034558,0.9327705
panda-amq-streams-dev,NAMESPACE_CPU_USAGE,20.946337,0.6945602,0.15752058
panda-nifi-dev,NAMESPACE_MEMORY_USAGE,0.06759795,0.7572276,0.0017109307
panda-nifi-dev,NAMESPACE_DISK_PERCENT,1.57141,0.96490794,0.07256663
panda-nifi-dev,NAMESPACE_CPU_USAGE,28.099133,-0.7441953,0.51400876
smartvtc-application-dev,NAMESPACE_MEMORY_USAGE,0.9502763,0.95470864,0.05639349
smartvtc-application-dev,NAMESPACE_DISK_PERCENT,0.031719565,0.99356747,0.0030147077
smartvtc-application-dev,NAMESPACE_CPU_USAGE,44.013157,0.31216443,0.97142744
openshift-storage,ALL,3404.8924506666667,0.3115877866666667,0.30738006
panda-amq-streams,ALL,11.774366100000002,0.6789120166666667,0.12866464
panda-amq-streams-dev,ALL,9.373457013333336,0.3854841499999999,0.3699504456666666
