query,namespace,MAPE,R2,MAE
NAMESPACE_MEMORY_USAGE,openshift-storage,40.688286,-0.10253045,0.006975141
NAMESPACE_MEMORY_USAGE,panda-amq-streams,3.7539358,0.49967954,0.04773431
NAMESPACE_MEMORY_USAGE,panda-amq-streams-dev,5.9952507,-25.2508,0.0031225607
NAMESPACE_MEMORY_USAGE,panda-druid,9.079897,-0.06947609,0.12361895
NAMESPACE_MEMORY_USAGE,panda-druid-dev,4.0404186,0.9033584,0.005222163
NAMESPACE_MEMORY_USAGE,panda-monitoring-tools,5.960124,0.8559074,0.00830073
NAMESPACE_MEMORY_USAGE,panda-nifi,1.0932711,0.0936609,0.009019387
NAMESPACE_MEMORY_USAGE,panda-nifi-dev,2.1715534,-141.46693,0.0017503401
NAMESPACE_MEMORY_USAGE,smartvtc-application-dev,42.66729,-8.561395,0.0038720241
NAMESPACE_MEMORY_USAGE,telco-dataprocessing-prod,23.886593,0.7493262,0.10850742
NAMESPACE_MEMORY_USAGE,telco-datastorage-prod,6.505868,-2.6990173,0.0072432696
NAMESPACE_MEMORY_USAGE,telefonica-arise-dev,5.2557607,-429.7015,0.0025215463
NAMESPACE_MEMORY_USAGE,telefonica-baroneza,2.0957859,-0.49210668,0.0035756691
NAMESPACE_MEMORY_USAGE,telefonica-baroneza-dev,78.90625,-535.7336,0.012917847
NAMESPACE_MEMORY_USAGE,telefonica-cem-mbb-prod,7.9892807,0.8118014,0.206624
NAMESPACE_MEMORY_USAGE,telefonica-netcompass,34.517338,-0.8562784,0.005829065
NAMESPACE_MEMORY_USAGE,telefonica-netcompass-dev,92.01672,-0.16198464,0.010515217
NAMESPACE_MEMORY_USAGE,telefonica-netcompass-icaro-dev,55.341732,-18795.564,0.0062492727
NAMESPACE_MEMORY_USAGE,telefonica-twamp-accedian,10.703453,0.074033104,0.0029102275
NAMESPACE_DISK_PERCENT,openshift-storage,68.62135,-0.7440746,0.009134842
NAMESPACE_DISK_PERCENT,panda-amq-streams,2.886163,0.66979027,0.036470763
NAMESPACE_DISK_PERCENT,panda-amq-streams-dev,11.811516,-41.61891,0.0061316467
NAMESPACE_DISK_PERCENT,panda-druid,8.86305,-0.021109223,0.12037773
NAMESPACE_DISK_PERCENT,panda-druid-dev,6.777677,0.9104051,0.0070154406
NAMESPACE_DISK_PERCENT,panda-monitoring-tools,6.366037,0.8732648,0.0077287233
NAMESPACE_DISK_PERCENT,panda-nifi,1.4500719,-0.9227881,0.012024275
NAMESPACE_DISK_PERCENT,panda-nifi-dev,9.654242,-2473.4617,0.0077805584
NAMESPACE_DISK_PERCENT,smartvtc-application-dev,35.343018,-4.5880322,0.0030648168
NAMESPACE_DISK_PERCENT,telco-dataprocessing-prod,24.700499,0.75446576,0.11020331
NAMESPACE_DISK_PERCENT,telco-datastorage-prod,6.326646,-2.3490572,0.0069193747
NAMESPACE_DISK_PERCENT,telefonica-arise-dev,5.4030356,-369.61673,0.0025913692
NAMESPACE_DISK_PERCENT,telefonica-baroneza,2.682187,-0.69214135,0.00449854
NAMESPACE_DISK_PERCENT,telefonica-baroneza-dev,109.44547,-1027.3854,0.017907003
NAMESPACE_DISK_PERCENT,telefonica-cem-mbb-prod,7.783899,0.8158725,0.20486191
NAMESPACE_DISK_PERCENT,telefonica-netcompass,33.135136,0.084296696,0.0041334378
NAMESPACE_DISK_PERCENT,telefonica-netcompass-dev,152.69437,0.008856624,0.0103686
NAMESPACE_DISK_PERCENT,telefonica-netcompass-icaro-dev,13.152682,-1059.6376,0.0014851069
NAMESPACE_DISK_PERCENT,telefonica-twamp-accedian,14.59554,-0.6987582,0.0037746914
NAMESPACE_CPU_USAGE,openshift-storage,55.82166,-0.24830608,0.008080491
NAMESPACE_CPU_USAGE,panda-amq-streams,3.171719,0.615444,0.040365648
NAMESPACE_CPU_USAGE,panda-amq-streams-dev,2.3169053,-6.1040826,0.0012062996
NAMESPACE_CPU_USAGE,panda-druid,8.614813,0.023115298,0.11723525
NAMESPACE_CPU_USAGE,panda-druid-dev,7.7529674,0.90941304,0.0075748777
NAMESPACE_CPU_USAGE,panda-monitoring-tools,5.1489367,0.8981888,0.006631576
NAMESPACE_CPU_USAGE,panda-nifi,1.062391,-0.3420371,0.008806202
NAMESPACE_CPU_USAGE,panda-nifi-dev,7.707178,-1767.7709,0.006213364
NAMESPACE_CPU_USAGE,smartvtc-application-dev,25.38829,-2.9774666,0.0021986575
NAMESPACE_CPU_USAGE,telco-dataprocessing-prod,24.522148,0.7502198,0.109262176
NAMESPACE_CPU_USAGE,telco-datastorage-prod,2.1966264,0.42508376,0.0024285193
NAMESPACE_CPU_USAGE,telefonica-arise-dev,3.9132473,-265.9497,0.0018777477
NAMESPACE_CPU_USAGE,telefonica-baroneza,4.1462646,-2.7305725,0.006938332
NAMESPACE_CPU_USAGE,telefonica-baroneza-dev,98.13076,-826.20953,0.016066816
NAMESPACE_CPU_USAGE,telefonica-cem-mbb-prod,7.984399,0.81121975,0.20597185
NAMESPACE_CPU_USAGE,telefonica-netcompass,29.143261,-0.026400426,0.004316379
NAMESPACE_CPU_USAGE,telefonica-netcompass-dev,106.90099,-0.018924424,0.010351419
NAMESPACE_CPU_USAGE,telefonica-netcompass-icaro-dev,11.224279,-938.6709,0.0012677241
NAMESPACE_CPU_USAGE,telefonica-twamp-accedian,15.644719,-0.974453,0.0040944046
NAMESPACE_CPU_USAGE,ALL,22.146923931578947,-200.39950464642104,0.02952040702631579
NAMESPACE_DISK_PERCENT,ALL,27.45750471052632,-261.97996574331574,0.030340638884210524
NAMESPACE_MEMORY_USAGE,ALL,22.772042521052633,-1049.2985185061052,0.03034258632105263
ALL,ALL,24.125490387719296,-503.89266296528064,0.030067877410526314
ALL,openshift-storage,55.04376533333334,-0.3649703766666667,0.008063491333333334
ALL,panda-amq-streams,3.2706059333333335,0.5949712699999999,0.04152357366666667
ALL,panda-amq-streams-dev,6.707890666666667,-24.324597533333332,0.003486835666666667
ALL,panda-druid,8.852586666666667,-0.022490004999999997,0.12041064333333334
ALL,panda-druid-dev,6.190354333333333,0.9077255133333333,0.006604160433333333
ALL,panda-monitoring-tools,5.825032566666667,0.8757869999999999,0.007553676433333333
ALL,panda-nifi,1.2019113333333333,-0.3903881,0.009949954666666665
ALL,panda-nifi-dev,6.5109911333333335,-1460.8998433333334,0.005248087499999999
ALL,smartvtc-application-dev,34.466199333333336,-5.375631266666666,0.003045166133333333
ALL,telco-dataprocessing-prod,24.369746666666668,0.7513372533333333,0.109324302
ALL,telco-datastorage-prod,5.009713466666667,-1.5409969133333334,0.005530387866666667
ALL,telefonica-arise-dev,4.857347866666666,-355.08931,0.002330221066666667
ALL,telefonica-baroneza,2.9747458333333334,-1.3049401766666666,0.005004180366666667
ALL,telefonica-baroneza-dev,95.49416000000001,-796.4428433333333,0.015630555333333334
ALL,telefonica-cem-mbb-prod,7.9191929,0.8129645499999999,0.2058192533333333
ALL,telefonica-netcompass,32.265245,-0.2661273766666667,0.004759627266666666
ALL,telefonica-netcompass-dev,117.20402666666666,-0.057350813333333334,0.010411745333333333
ALL,telefonica-netcompass-icaro-dev,26.572897666666666,-6931.2908333333335,0.0030007012333333333
ALL,telefonica-twamp-accedian,13.647903999999999,-0.5330593653333334,0.0035931078333333332
